EN SOURCE (canonical, in use)	ORIGIN	INTERIM DE (replace with approved copy)	INTERIM TH (replace)	INTERIM JA (replace)
Sunday, 28 Feb · 04:30 PM	static page source	Sonntag, 28. Feb · 16:30 Uhr	อาทิตย์ 28 ก.พ. · 16:30 น.	2月28日（日）16:30
Sunday, 28 Feb · 05:00 AM	static page source	Sonntag, 28. Feb · 05:00 Uhr	อาทิตย์ 28 ก.พ. · 05:00 น.	2月28日（日）5:00
Sunday, 28 Feb · 07:30 PM	static page source	Sonntag, 28. Feb · 19:30 Uhr	อาทิตย์ 28 ก.พ. · 19:30 น.	2月28日（日）19:30
Sunday, 28 February 2027	dynamic renderer	Sonntag, 28. Februar 2027	วันอาทิตย์ที่ 28 กุมภาพันธ์ 2027	2027年2月28日（日）
Sunday, 28 February 2027 · at dawn	static page source	Sonntag, 28. Februar 2027 · im Morgengrauen	อาทิตย์ 28 กุมภาพันธ์ 2027 · ยามรุ่งสาง	2027年2月28日（日）夜明けに
Sunday, 28 February 2027 · Souphattra Heritage Vientiane	static page source	Sonntag, 28. Februar 2027 · Souphattra Heritage Vientiane	อาทิตย์ 28 กุมภาพันธ์ 2027 · สุพัตรา เฮอริเทจ เวียงจันทน์	2027年2月28日（日）スパッタラ・ヘリテージ
Sunday, 28 February 2027 · Vientiane	static page source	Sonntag, 28. Februar 2027 · Vientiane	อาทิตย์ 28 กุมภาพันธ์ 2027 · เวียงจันทน์	2027年2月28日（日）ビエンチャン
Sunday, 28 February 2027 · Vientiane, Laos	static page source	Sonntag, 28. Februar 2027 · Vientiane, Laos	วันอาทิตย์ที่ 28 กุมภาพันธ์ 2027 · เวียงจันทน์ ลาว	2027年2月28日（日）・ラオス、ビエンチャン
Sunset Drinks & Wedding Dinner	static page source	Sunset Drinks & Hochzeitsdinner	ดื่มยามอาทิตย์อัสดงและงานเลี้ยงมงคลสมรส	サンセットドリンク＆ウェディングディナー
Sunset drinks beside the pool, then dinner in the courtyard garden: Lao food, music and celebration, together late into the night.	static page source	Drinks am Pool zum Sonnenuntergang, dann Dinner im Hofgarten: laotisches Essen, Musik und Feiern — gemeinsam bis tief in die Nacht.	จิบเครื่องดื่มริมสระยามอาทิตย์ตก แล้วต่อด้วยมื้อค่ำในสวน อาหารลาว ดนตรี และการเฉลิมฉลองด้วยกันจนดึก	夕暮れのプールサイドで乾杯し、中庭でディナーを。ラオス料理と音楽と祝祭を、夜更けまで共に。
Sunset drinks beside the pool, then dinner in the courtyard garden. Food, music and celebration.	dynamic renderer	Drinks am Pool zum Sonnenuntergang, dann Dinner im Hofgarten. Essen, Musik und Feiern.	จิบเครื่องดื่มริมสระยามเย็น แล้วต่อด้วยมื้อค่ำในสวน อาหาร ดนตรี และการเฉลิมฉลอง	夕暮れのプールサイドで乾杯、そして中庭でのディナー。料理と音楽とお祝いのひととき。
Sunset drinks beside the pool, then dinner in the courtyard garden. Lao food, music and celebration, together late into the night.	static page source	Drinks am Pool zum Sonnenuntergang, dann Dinner im Hofgarten. Laotisches Essen, Musik und Feiern — gemeinsam bis tief in die Nacht.	จิบเครื่องดื่มริมสระยามอาทิตย์อัสดง แล้วต่อด้วยมื้อค่ำในสวนลานบ้าน อาหารลาว เสียงดนตรี และการเฉลิมฉลองด้วยกันจนดึก	夕暮れ、プールサイドでの乾杯。続いて中庭でのディナー。ラオス料理と音楽と祝祭を、夜が更けるまで共に。
Sunset drinks beside the pool, then dinner in the courtyard garden. Lao food, music and celebration.	static page source	Drinks am Pool zum Sonnenuntergang, dann Dinner im Hofgarten. Laotisches Essen, Musik und Feiern.	จิบเครื่องดื่มริมสระยามอาทิตย์ตก แล้วต่อด้วยมื้อค่ำในสวน อาหารลาว ดนตรี และการเฉลิมฉลอง	夕暮れのプールサイドで乾杯し、中庭でディナーを。ラオス料理と音楽と祝祭。
Sunset, then	static page source	Sonnenuntergang, dann	อาทิตย์อัสดง แล้วต่อด้วย	夕陽、そして
Take a look	static page source	Schaut hinein	ลองชมดู	見てみる
Thank you.	static page source	Danke.	ขอบคุณ	ありがとうございます。
the	static page source	das	เดอะ	ザ・
The Alms Giving	static page source	Die Almosengabe	พิธีตักบาตร	托鉢の儀
The Bangkok Journey	dynamic renderer	Die Bangkok-Reise	ทริปกรุงเทพฯ	バンコクの旅
The ceremony	static page source	Die Zeremonie	พิธี	セレモニー
The courtyard settles into quiet in the late afternoon, framed by heritage architecture and the garden.	static page source	Am späten Nachmittag wird der Innenhof still, gerahmt von Heritage-Architektur und dem Garten.	ยามบ่ายแก่ ลานบ้านค่อย ๆ สงบลง โอบล้อมด้วยสถาปัตยกรรมมรดกและสวน	午後遅く、中庭は静けさに包まれる。ヘリテージ建築と庭に囲まれて。
The details	static page source	Die Details	รายละเอียด	詳細は
The dinner	static page source	Das Dinner	งานเลี้ยง	ディナー
The dress code is part of this moment and applies to everyone attending. Please make sure you are comfortable following it before confirming your attendance. If you are unsure about anything, Guest Relations will be happy to help you prepare.	dynamic renderer	Der Dresscode gehört zu diesem Moment und gilt für alle Anwesenden. Bitte vergewissert euch, dass ihr euch damit wohlfühlt, bevor ihr eure Teilnahme bestätigt. Bei Fragen hilft euch Guest Relations gern bei der Vorbereitung.	การแต่งกายเป็นส่วนหนึ่งของช่วงเวลานี้และใช้กับผู้ร่วมงานทุกท่าน โปรดแน่ใจว่าคุณสะดวกใจก่อนยืนยันเข้าร่วม หากไม่แน่ใจสิ่งใด ฝ่ายดูแลแขกยินดีช่วยเตรียมตัวให้	ドレスコードはこのひとときの一部であり、ご参列の皆さまにお願いしています。ご出席の確定前に、無理なくお召しいただけるかご確認ください。ご不明な点は、ゲストリレーションズが喜んでお手伝いします。
The Dress Guide	static page source	Der Dress Guide	คู่มือการแต่งกาย	ドレスガイド
The evening	static page source	Der Abend	ยามเย็น	夜のひととき
The heart of the wedding stay: one quiet courtyard, shared mornings, the whole rhythm of the weekend. You choose the stay that feels right for you.	static page source	Das Herz des Hochzeitsaufenthalts: ein stiller Innenhof, gemeinsame Morgen, der ganze Rhythmus des Wochenendes. Ihr wählt den Aufenthalt, der sich richtig anfühlt.	หัวใจของการพักช่วงงานแต่ง ลานบ้านอันเงียบสงบ เช้าที่แบ่งปันกัน และจังหวะทั้งหมดของสุดสัปดาห์ คุณเลือกที่พักที่ใช่สำหรับคุณ	結婚式の滞在の中心——静かな中庭、共に迎える朝、週末のリズムのすべて。心地よい滞在をお選びください。
The house suite: a separate living area, pantry and bar, and a long balcony over the pool.	static page source	Die Haussuite: separater Wohnbereich, Pantry und Bar, und ein langer Balkon über dem Pool.	สวีทประจำบ้าน พื้นที่นั่งเล่นแยก แพนทรีและบาร์ พร้อมระเบียงยาวเหนือสระ	館のスイート。独立リビング、パントリーとバー、プールに沿う長いバルコニー。
The journey begins in Bangkok: the overnight sleeper train to Nong Khai — a central experience of the journey before the wedding — then onward across the border to Vientiane. Full travel details follow, so please wait for our green light before booking.	static page source	Die Reise beginnt in Bangkok: der Nachtzug nach Nong Khai — ein zentrales Erlebnis der Reise vor der Hochzeit — dann weiter über die Grenze nach Vientiane. Alle Reisedetails folgen; bitte wartet auf unser grünes Licht, bevor ihr bucht.	การเดินทางเริ่มที่กรุงเทพฯ รถไฟตู้นอนสู่หนองคาย ประสบการณ์สำคัญก่อนวันงาน แล้วข้ามพรมแดนสู่เวียงจันทน์ รายละเอียดจะตามมา โปรดรอสัญญาณจากเราก่อนจอง	旅はバンコクから。ノーンカーイへの夜行寝台列車——挙式前の旅の中心となる体験——そして国境を越えビエンチャンへ。詳細は追ってご案内しますので、ご予約は合図をお待ちください。
The Journey Map	static page source	Die Reisekarte	แผนที่การเดินทาง	旅の地図
The journey to Vientiane, and onward	static page source	Die Reise nach Vientiane und weiter	เส้นทางสู่เวียงจันทน์และต่อจากนั้น	ビエンチャンへ、そしてその先へ
the key moments are arranged for you	static page source	die Schlüsselmomente sind für euch arrangiert	ช่วงเวลาสำคัญถูกจัดเตรียมไว้ให้คุณ	大切な瞬間はすべて手配済み
The largest suite of the house: two bedrooms, private bathrooms and a shared living space under a high ceiling.	static page source	Die größte Suite des Hauses: zwei Schlafzimmer, eigene Bäder und ein gemeinsamer Wohnraum unter hoher Decke.	สวีทที่ใหญ่ที่สุดของบ้าน สองห้องนอน ห้องน้ำในตัว และพื้นที่นั่งเล่นร่วมใต้เพดานสูง	館で最も広いスイート。2つのベッドルーム、専用バス、高天井のリビング。
the long table.	static page source	die lange Tafel.	โต๊ะยาวของเรา	長いテーブルへ。
The Moments	static page source	Die Momente	ช่วงเวลาสำคัญ	セレモニー
The morning	static page source	Der Morgen	ยามเช้า	朝のひととき
The morning ritual asks for covered shoulders and a long skirt. Sinh and silk scarves can be arranged in Vientiane if you would rather not travel with them.	static page source	Das Morgenritual bittet um bedeckte Schultern und einen langen Rock. Sinh und Seidenschals können in Vientiane arrangiert werden, wenn ihr sie nicht mitbringen möchtet.	พิธียามเช้าขอให้คลุมไหล่และสวมผ้าซิ่นยาว หากไม่สะดวกนำมา เราจัดหาซิ่นและผ้าสไบไหมที่เวียงจันทน์ได้	朝の儀式では肩を覆い、長いスカートを。シンやシルクのスカーフは、ビエンチャンでのご用意も可能です。
The most formal hour of the weekend, in the courtyard as the day softens.	static page source	Die formellste Stunde des Wochenendes — im Innenhof, wenn der Tag weicher wird.	ชั่วโมงที่เป็นทางการที่สุดของสุดสัปดาห์ ในลานบ้านยามแสงอ่อน	週末で最も改まったひととき。日の和らぐ中庭で。
The night train, arranged around you	dynamic renderer	Der Nachtzug, um euch herum arrangiert	รถไฟตู้นอนที่จัดเพื่อคุณ	あなたに合わせた夜行列車
The Overnight Train	dynamic renderer	Der Nachtzug	รถไฟตู้นอน	夜行列車
The participating temple will be announced with your itinerary. Your exact timing arrives in your Guest Area closer to the day.	static page source	Der teilnehmende Tempel wird mit eurem Reiseplan bekannt gegeben. Eure genaue Zeit erhaltet ihr näher am Tag im Gästebereich.	วัดที่ร่วมพิธีจะแจ้งพร้อมกำหนดการ เวลาที่แน่นอนจะส่งถึงพื้นที่สำหรับแขกเมื่อใกล้วันงาน	参加寺院は旅程とともにお知らせします。正確な時間は、当日が近づいたらゲストエリアへ。
The Places	static page source	Die Orte	สถานที่	会場
The Post Wedding Journey	dynamic renderer	Die Reise nach der Hochzeit	การเดินทางหลังงานแต่ง	ウェディング後の旅
The Pre Wedding Journey	static page source	Die Reise vor der Hochzeit	การเดินทางก่อนวันงาน	ウェディング前の旅
The rhythm	static page source	Der Rhythmus	จังหวะ	メコンの
The road to the wedding: Bangkok · the overnight train · Nong Khai · Vientiane · the wedding days.	dynamic renderer	Der Weg zur Hochzeit: Bangkok · der Nachtzug · Nong Khai · Vientiane · die Hochzeitstage.	เส้นทางสู่งานแต่ง กรุงเทพฯ · รถไฟตู้นอน · หนองคาย · เวียงจันทน์ · วันงานแต่งงาน	結婚式への道：バンコク・夜行列車・ノーンカーイ・ビエンチャン・婚礼の日々。
The shared days in Bangkok before travelling on to Laos.	dynamic renderer	Die gemeinsamen Tage in Bangkok, bevor es weiter nach Laos geht.	วันเวลาที่ใช้ร่วมกันในกรุงเทพฯ ก่อนเดินทางต่อไปยังลาว	ラオスへ発つ前の、バンコクで共に過ごす日々。
The shared Pre-Wedding home in Bangkok — Personal pickup by Haruthai on 21 FEB 2027.	dynamic renderer	Das gemeinsame Pre-Wedding-Zuhause in Bangkok — persönliche Abholung durch Haruthai am 21 FEB 2027.	บ้านพักก่อนวันงานที่ใช้ร่วมกันในกรุงเทพฯ — หรุทัยไปรับด้วยตัวเองวันที่ 21 ก.พ. 2027	バンコクで共に過ごすプレウェディングの家——2027年2月21日、ハルタイが直接お迎えに上がります。
The sleeper train north through the night — one of the defining transitions of the Bangkok Journey. Eight seats, kept small on purpose.	dynamic renderer	Der Schlafwagenzug nach Norden durch die Nacht — einer der prägenden Übergänge der Bangkok-Reise. Acht Plätze, bewusst klein gehalten.	รถไฟตู้นอนมุ่งเหนือตลอดคืน หนึ่งในช่วงเปลี่ยนผ่านสำคัญของทริปกรุงเทพฯ แปดที่นั่ง ตั้งใจให้เล็กและอบอุ่น	夜を走り北へ向かう寝台列車——バンコクの旅を象徴する移動のひとつ。あえて8席だけの小さな旅。
The Story	static page source	Die Geschichte	เรื่องราวของเรา	ふたりの物語
The table is set	static page source	Der Tisch ist gedeckt	โต๊ะถูกจัดเตรียมไว้แล้ว	食卓は整いました
The vow	static page source	Das Versprechen	คำสัญญา	誓い
The Vow Ceremony	static page source	Das Eheversprechen	พิธีกล่าวคำสัญญา	誓いの式
The vow,	static page source	Das Versprechen,	คำสัญญา	誓いは、
The vows, in front of everyone who matters.	dynamic renderer	Das Versprechen — vor allen, die zählen.	คำสัญญา ต่อหน้าทุกคนที่สำคัญ	大切な人みんなの前で交わす、誓い。
the wedding	static page source	die Hochzeit	งานแต่งงาน	結婚式
The Wedding	dynamic renderer	Die Hochzeit	งานแต่งงาน	ウェディング
The Wedding · Main Event	dynamic renderer	Die Hochzeit · Hauptereignis	งานแต่งงาน · งานหลัก	ウェディング・メインイベント
The wedding day opens with the morning ritual at Souphattra Heritage Vientiane: monks in procession, rice offered, nothing hurried.	static page source	Der Hochzeitstag beginnt mit dem Morgenritual im Souphattra Heritage Vientiane: Mönche in Prozession, gereichter Reis, nichts eilig.	วันแต่งงานเริ่มด้วยพิธียามเช้าที่สุพัตรา เฮอริเทจ เวียงจันทน์ พระสงฆ์เดินบิณฑบาต ถวายข้าว อย่างไม่เร่งรีบ	結婚の一日は、スパッタラ・ヘリテージでの朝の儀式から。僧侶の列、捧げられる米、急がない時間。
The wedding days	static page source	Die Hochzeitstage	วันงานแต่งงาน	婚礼の日々
The Wedding Dinner	static page source	Das Hochzeitsdinner	งานเลี้ยงฉลองมงคลสมรส	ウェディングディナー
The Weekend, in Order	static page source	Das Wochenende, der Reihe nach	ลำดับวันงาน	当日の流れ
there for.	static page source	da seid.	มาเพื่อสิ่งนั้น	楽しみのために。
These little preferences help Guest Relations shape quiet surprises. Nothing is ever displayed back.	dynamic renderer	Diese kleinen Vorlieben helfen Guest Relations, stille Überraschungen zu gestalten. Nichts davon wird je angezeigt.	รายละเอียดเล็ก ๆ เหล่านี้ช่วยให้ฝ่ายดูแลแขกเตรียมเซอร์ไพรส์เงียบ ๆ ได้ และจะไม่ถูกนำมาแสดงที่ใด	この小さなお好みが、ささやかなサプライズづくりに役立ちます。内容が表示されることはありません。
This is a registration request. Guest Relations will confirm your arrangements separately.	dynamic renderer	Dies ist eine Registrierungsanfrage. Guest Relations bestätigt eure Arrangements separat.	นี่คือคำขอลงทะเบียน ฝ่ายดูแลแขกจะยืนยันการจัดเตรียมของคุณแยกต่างหาก	これは登録リクエストです。手配内容はゲストリレーションズが別途ご連絡のうえ確定します。
This site answers	static page source	Diese Seite beantwortet	เว็บไซต์นี้ตอบคำถาม	このサイトが答えるのは
This website is your invitation to the journey: what the weekend feels like, where you'll stay, what to pack, what to wear. Everything you need to arrive prepared and unhurried.	static page source	Diese Webseite ist eure Einladung zur Reise: wie sich das Wochenende anfühlt, wo ihr wohnt, was ihr einpackt, was ihr tragt. Alles, um vorbereitet und ohne Eile anzukommen.	เว็บไซต์นี้คือคำเชิญสู่การเดินทาง สุดสัปดาห์จะเป็นอย่างไร พักที่ไหน เตรียมอะไร แต่งกายอย่างไร ทุกสิ่งเพื่อให้คุณมาถึงอย่างพร้อมและไม่รีบร้อน	このサイトは旅への招待状。週末の空気、滞在先、持ち物、装い——落ち着いて到着するためのすべてを。
Timing and your table arrive in your Guest Area closer to the day.	static page source	Zeit und Tisch erhaltet ihr näher am Tag im Gästebereich.	เวลาและโต๊ะของคุณจะแจ้งในพื้นที่สำหรับแขกเมื่อใกล้วันงาน	お時間とお席は、当日が近づいたらゲストエリアでご案内します。
Timing, transitions and locations are made clear in advance. Nobody has to guess what happens next.	static page source	Zeiten, Übergänge und Orte werden vorab klar kommuniziert. Niemand muss raten, was als Nächstes passiert.	เวลา การเปลี่ยนผ่าน และสถานที่ ทุกอย่างแจ้งให้ทราบล่วงหน้า ไม่มีใครต้องเดาว่าจะเกิดอะไรต่อไป	時間も移動も場所も、事前にはっきりと。次に何が起こるか、誰も迷いません。
timings to be confirmed	static page source	Zeiten werden bestätigt	จะยืนยันเวลาอีกครั้ง	時刻は追って確定
to be confirmed	static page source	wird bestätigt	รอยืนยัน	追って確定
To finalize with Guest Relations	dynamic renderer	Mit Guest Relations abzustimmen	รอสรุปกับฝ่ายดูแลแขก	ゲストリレーションズと最終調整
TO FINALIZE WITH GUEST RELATIONS	dynamic renderer	MIT GUEST RELATIONS ABZUSTIMMEN	รอสรุปกับฝ่ายดูแลแขก	ゲストリレーションズと最終調整
To Guest	static page source	An Guest	ถึงฝ่าย	宛先：ゲスト
to live	static page source	leben	เพื่อมีชีวิต	生きること
to love	static page source	lieben	เพื่อรัก	愛すること
to pray	static page source	beten	เพื่อภาวนา	祈ること
To the wedding	static page source	Zur Hochzeit	สู่งานแต่ง	挙式へ
to travel	static page source	reisen	เพื่อเดินทาง	旅すること
TOP	dynamic renderer	NACH OBEN	ขึ้นบน	トップへ
Total	dynamic renderer	Gesamt	รวม	合計
Total contribution	dynamic renderer	Gesamtbeitrag	ยอดร่วมสมทบทั้งหมด	ご負担額合計
total contribution · per guest	dynamic renderer	Gesamtbeitrag · pro Gast	ยอดร่วมสมทบ · ต่อท่าน	ご負担額・お一人につき
total contribution per guest	dynamic renderer	Gesamtbeitrag pro Gast	ยอดร่วมสมทบต่อท่าน	お一人あたりのご負担額
Train	dynamic renderer	Zug	รถไฟ	列車
Train, transfers and your own way, each with its price	dynamic renderer	Zug, Transfers und euer eigener Weg — jeweils mit Preis	รถไฟ การรับส่ง หรือแบบของคุณเอง พร้อมราคาแต่ละแบบ	列車、送迎、ご自身の方法——それぞれの料金で
Transfers	dynamic renderer	Transfers	การรับส่ง	送迎
Travel	static page source	Anreise	ข้อมูลเดินทาง	交通案内
Travel documents, ready to download	static page source	Reisedokumente zum Herunterladen	เอกสารเดินทางพร้อมดาวน์โหลด	ダウンロードできる旅の書類
Travel first. Wedding second.	static page source	Erst die Reise. Dann die Hochzeit.	การเดินทางมาก่อน งานแต่งตามมา	まず旅、それから式。
Treatment	dynamic renderer	Anwendung	ทรีตเมนต์	トリートメント
Tuxedo, black bow tie, patent shoes	static page source	Smoking, schwarze Fliege, Lackschuhe	ทักซิโด้ หูกระต่ายดำ รองเท้าหนังแก้ว	タキシード、黒の蝶ネクタイ、エナメルシューズ
Tuxedo; a velvet or ivory dinner jacket is welcome	static page source	Smoking; ein Samt- oder Ivory-Dinnerjacket ist willkommen	ทักซิโด้ แจ็กเก็ตกำมะหยี่หรือสีงาช้างก็งดงาม	タキシード。ベルベットやアイボリーのディナージャケットも歓迎
Two bathrooms	dynamic renderer	Zwei Bäder	ห้องน้ำสองห้อง	バスルーム2つ
Two bedrooms	static page source	Zwei Schlafzimmer	สองห้องนอน	ベッドルーム2室
Two bedrooms · king and twin	static page source	Zwei Schlafzimmer · King und Twin	สองห้องนอน · คิงและทวิน	ベッドルーム2室・キングとツイン
Two hour beverage package	dynamic renderer	Zwei Stunden Getränkepaket	แพ็กเกจเครื่องดื่มสองชั่วโมง	2時間のドリンクパッケージ
UNDER REVIEW	dynamic renderer	IN PRÜFUNG	กำลังตรวจสอบ	確認中
unfolds.	static page source	wird.	จะเกิดขึ้น	舞台。
Up to 2 adults · 1 child	static page source	Bis zu 2 Erw. · 1 Kind	สูงสุดผู้ใหญ่ 2 · เด็ก 1	最大大人2名・子ども1名
Up to 4 adults	static page source	Bis zu 4 Erwachsene	สูงสุดผู้ใหญ่ 4 ท่าน	最大大人4名
Upper berth	dynamic renderer	Oberes Bett	เตียงบน	上段
Vegan	dynamic renderer	Vegan	วีแกน	ヴィーガン
Vegetarian	dynamic renderer	Vegetarisch	มังสวิรัติ	ベジタリアン
Vientiane · on the banks of the Mekong	dynamic renderer	Vientiane · am Ufer des Mekong	เวียงจันทน์ · ริมฝั่งแม่น้ำโขง	ビエンチャン・メコン川のほとり
Vientiane is warm; choose fabric over structure	dynamic renderer	Vientiane ist warm; wählt Stoff statt Struktur	เวียงจันทน์อากาศอบอุ่น เลือกเนื้อผ้าเบาสบาย	ビエンチャンは暖か。かっちりより軽やかな素材を
View details	dynamic renderer	Details ansehen	ดูรายละเอียด	詳細を見る
View your journey	dynamic renderer	Eure Reise ansehen	ดูการเดินทางของคุณ	旅程を見る
Visa & currency	static page source	Visum & Währung	วีซ่าและสกุลเงิน	ビザと通貨
Visit the wedding website	static page source	Zur Hochzeitswebseite	ไปที่เว็บไซต์งานแต่ง	ウェディングサイトへ
Vow Ceremony	static page source	Eheversprechen	พิธีกล่าวคำสัญญา	誓いの式
vow.	static page source	Versprechen.	คำสัญญา	誓い。
WAITLISTED	dynamic renderer	WARTELISTE	อยู่ในรายชื่อรอ	キャンセル待ち
wake up.	static page source	aufwacht.	จะตื่นนอน	場所。
Wardrobe	static page source	Kleiderschrank	ตู้เสื้อผ้า	ワードローブ
Warm days and cooler mornings by the river. Bring a light layer for the dawn alms giving.	static page source	Warme Tage und kühlere Morgen am Fluss. Bringt eine leichte Schicht für die Almosengabe im Morgengrauen mit.	กลางวันอบอุ่น เช้าริมแม่น้ำเย็นสบาย เตรียมเสื้อคลุมบาง ๆ สำหรับพิธีตักบาตรยามรุ่งสาง	昼は暖かく、川辺の朝は涼しめ。夜明けの托鉢には薄手の羽織りをご用意ください。
Washer & laundry area	static page source	Waschmaschine & Waschbereich	เครื่องซักผ้าและพื้นที่ซักล้าง	洗濯機＆ランドリー
We are creating a shared experience.	static page source	Wir gestalten ein gemeinsames Erlebnis.	เรากำลังสร้างประสบการณ์ที่มีร่วมกัน	分かち合う体験を、つくっています。
We are not creating a wedding.	static page source	Wir gestalten keine Hochzeit.	เราไม่ได้กำลังจัดงานแต่งงาน	私たちがつくっているのは、結婚式ではありません。
We confirm this information is accurate. We understand this registration is a request and that Guest Relations confirms all arrangements separately.	dynamic renderer	Wir bestätigen, dass diese Angaben korrekt sind. Uns ist bewusst, dass diese Registrierung eine Anfrage ist und Guest Relations alle Arrangements separat bestätigt.	เรายืนยันว่าข้อมูลถูกต้อง และเข้าใจว่านี่คือคำขอลงทะเบียน โดยฝ่ายดูแลแขกจะยืนยันการจัดเตรียมทั้งหมดแยกต่างหาก	この情報が正確であることを確認します。本登録はリクエストであり、手配はゲストリレーションズが別途確定することを理解しています。
We could not find that invitation code. Please use the private code from your invitation letter — or write to Guest Relations and we will help right away.	static page source	Wir konnten diesen Einladungscode nicht finden. Bitte nutzt den privaten Code aus eurem Einladungsbrief — oder schreibt Guest Relations, wir helfen sofort.	เราไม่พบรหัสบัตรเชิญนี้ โปรดใช้รหัสส่วนตัวจากจดหมายเชิญ หรือเขียนถึงฝ่ายดูแลแขก เราพร้อมช่วยทันที	その招待コードが見つかりませんでした。招待状のプライベートコードをご利用ください——ゲストリレーションズにご連絡いただければすぐお手伝いします。
We have different plans	dynamic renderer	Wir haben unterschiedliche Pläne	เรามีแผนต่างกัน	それぞれ別のプラン
We will do our best to arrange your preferred berth. Final allocation depends on railway availability.	dynamic renderer	Wir bemühen uns um euren Wunschplatz. Die endgültige Zuteilung hängt von der Verfügbarkeit der Bahn ab.	เราจะพยายามจัดที่นอนตามที่คุณต้องการ การจัดสรรขึ้นอยู่กับที่ว่างของการรถไฟ	ご希望の寝台をできる限り手配します。最終的な割り当ては鉄道の空席状況によります。
We would love to join	dynamic renderer	Wir sind sehr gern dabei	เรายินดีเข้าร่วม	ぜひ参加したいです
We’re taking care of	dynamic renderer	Darum kümmern wir uns	เราดูแลให้ทั้งหมดนี้	私たちが承ります
Weather in late February	static page source	Wetter Ende Februar	อากาศปลายเดือนกุมภาพันธ์	2月下旬の気候
Website	dynamic renderer	Webseite	เว็บไซต์	ウェブサイト
Wedding	static page source	Hochzeit	งานแต่งงาน	挙式
Wedding Dinner	static page source	Hochzeitsdinner	งานเลี้ยงมงคลสมรส	ウェディングディナー
Welcome drink on arrival	dynamic renderer	Willkommensdrink bei Ankunft	เครื่องดื่มต้อนรับเมื่อมาถึง	ご到着時のウェルカムドリンク
welcoming?	static page source	willkommen heißen?	ใครบ้าง?	お迎えするのでしょう？
What always makes you feel at home?	dynamic renderer	Was gibt euch immer ein Zuhause-Gefühl?	อะไรที่ทำให้คุณรู้สึกเหมือนอยู่บ้านเสมอ?	いつでも「我が家」を感じるものは？
What flowers do you love?	dynamic renderer	Welche Blumen liebt ihr?	ดอกไม้ที่คุณรักคือดอกอะไร?	好きな花は？
What tea do you love?	dynamic renderer	Welchen Tee liebt ihr?	ชาแบบไหนที่คุณรัก?	お気に入りのお茶は？
What to wear,	static page source	Was ihr tragt,	แต่งกายอย่างไร	何を着るか、
What you are	static page source	Wofür ihr	สิ่งที่คุณ	あなたの
What’s a book you love?	dynamic renderer	Welches Buch liebt ihr?	หนังสือที่คุณรักคือเล่มไหน?	好きな本は？
What’s a film you love?	dynamic renderer	Welchen Film liebt ihr?	ภาพยนตร์ที่คุณรักคือเรื่องไหน?	好きな映画は？
What’s a song you never skip?	dynamic renderer	Welchen Song überspringt ihr nie?	เพลงที่คุณไม่เคยกดข้ามคือเพลงไหน?	つい聴き入ってしまう曲は？
What’s your favourite colour?	dynamic renderer	Was ist eure Lieblingsfarbe?	สีโปรดของคุณคือสีอะไร?	好きな色は？
What’s your favourite drink?	dynamic renderer	Was ist euer Lieblingsgetränk?	เครื่องดื่มโปรดของคุณคืออะไร?	好きな飲み物は？
What’s your favourite food?	dynamic renderer	Was ist euer Lieblingsessen?	อาหารโปรดของคุณคืออะไร?	好きな食べ物は？
What’s your favourite snack?	dynamic renderer	Was ist euer Lieblingssnack?	ของว่างโปรดของคุณคืออะไร?	好きなおやつは？
Where	static page source	Lage	ทำเล	所在地
Where the celebration	static page source	Wo gefeiert	ที่ซึ่งงานฉลอง	祝宴の
Where the celebration unfolds.	dynamic renderer	Wo gefeiert wird.	งานฉลองจะจัดขึ้นที่ใด	祝宴の舞台
Where you	static page source	Wo ihr	ที่ที่คุณ	目覚める
Where You Sleep	static page source	Wo ihr schlaft	ที่พักของคุณ	お泊まりの場所
Where you wake up.	dynamic renderer	Wo ihr aufwacht.	ที่ที่คุณจะตื่นนอน	目覚める場所
Which roads	static page source	Welche Wege	เส้นทางใด	どの道が
Who are we	static page source	Wen dürfen wir	เราจะได้ต้อนรับ	どなたを
Who would you like to bring, and why?	static page source	Wen möchtet ihr mitbringen — und warum?	อยากพาใครมาด้วย และเพราะอะไร?	どなたをお連れしたいですか？その理由も
WiFi	static page source	WLAN	ไวไฟ	Wi-Fi
WiFi access	static page source	WLAN	ไวไฟ	Wi-Fi
Women	static page source	Damen	สุภาพสตรี	女性
Yes	dynamic renderer	Ja	มี	あり
Yes, please	dynamic renderer	Ja, gern	ค่ะ/ครับ	はい、お願いします
You arrive with the Night Train at Nong Khai Railway Station — the onward journey to Souphattra Heritage is shown first.	dynamic renderer	Ihr kommt mit dem Nachtzug am Bahnhof Nong Khai an — die Weiterfahrt zum Souphattra Heritage steht an erster Stelle.	คุณมาถึงสถานีหนองคายด้วยรถไฟตู้นอน การเดินทางต่อไปสุพัตรา เฮอริเทจ แสดงเป็นอันดับแรก	夜行列車でノーンカーイ駅に到着します。スパッタラ・ヘリテージへの移動を最初にご案内します。
You come	static page source	Ihr kommt,	คุณมาอย่างที่	あなたは、
